mechanism,nominal_epsilon,sampling_rate,amplified_epsilon,amplified_delta,amplification_ratio
laplace,0.1,0.01,0.0010511565221128713,1.0000000000000001e-07,95.1333106881129
laplace,0.1,0.05,0.005244768031214582,5.000000000000001e-07,19.066620183169864
laplace,0.1,0.1,0.010462171926871855,1.0000000000000002e-06,9.558244760168034
laplace,0.1,0.2,0.020816019146191227,2.0000000000000003e-06,4.803992506814028
laplace,0.1,0.5,0.05124947951362563,5e-06,1.9512393286533407
laplace,0.5,0.01,0.00646626130463523,1.0000000000000001e-07,77.32443469947363
laplace,0.5,0.05,0.031921119998644915,5.000000000000001e-07,15.663610801288474
laplace,0.5,0.1,0.06285472347373035,1.0000000000000002e-06,7.954851638301633
laplace,0.5,0.2,0.12199128333927095,2.0000000000000003e-06,4.098653496491597
laplace,0.5,0.5,0.2809298036201614,5e-06,1.7798040419949115
laplace,1.0,0.01,0.01703686323617644,1.0000000000000001e-07,58.69625095519806
laplace,1.0,0.05,0.08242211287901101,5.000000000000001e-07,12.132666405530262
laplace,1.0,0.1,0.1585650787404291,1.0000000000000002e-06,6.306558846018039
laplace,1.0,0.2,0.29539452912034764,2.0000000000000003e-06,3.3853030486985993
laplace,1.0,0.5,0.6201145069582775,5e-06,1.6126053959051823
laplace,2.0,0.01,0.06193252941633187,1.0000000000000001e-07,32.29320712150005
laplace,2.0,0.05,0.2772171089449407,5.000000000000001e-07,7.214561928056282
laplace,2.0,0.1,0.49402870804417887,1.0000000000000002e-06,4.048347732498875
laplace,2.0,0.2,0.8232149905576912,2.0000000000000003e-06,2.4294990044400064
laplace,2.0,0.5,1.4337808304830273,5e-06,1.394913335064062
laplace,5.0,0.01,0.9058894621377392,1.0000000000000001e-07,5.51943720396182
laplace,5.0,0.05,2.124732490148896,5.000000000000001e-07,2.353237418443021
laplace,5.0,0.1,2.7562888424335865,1.0000000000000002e-06,1.814033392663373
laplace,5.0,0.2,3.417157072908292,2.0000000000000003e-06,1.463204615216758
laplace,5.0,0.5,4.313568167929173,5e-06,1.1591331828657212
laplace,10.0,0.01,5.39931433653905,1.0000000000000001e-07,1.8520870200733637
laplace,10.0,0.05,7.005129953287075,5.000000000000001e-07,1.4275252660098927
laplace,10.0,0.1,7.697823422919827,1.0000000000000002e-06,1.2990685094471737
laplace,10.0,0.2,8.390743670797717,2.0000000000000003e-06,1.1917894756817533
laplace,10.0,0.5,9.306898218339272,5e-06,1.074471834267508
gaussian,0.1,0.01,0.0010511565221128713,1.0000000000000001e-07,95.1333106881129
gaussian,0.1,0.05,0.005244768031214582,5.000000000000001e-07,19.066620183169864
gaussian,0.1,0.1,0.010462171926871855,1.0000000000000002e-06,9.558244760168034
gaussian,0.1,0.2,0.020816019146191227,2.0000000000000003e-06,4.803992506814028
gaussian,0.1,0.5,0.05124947951362563,5e-06,1.9512393286533407
gaussian,0.5,0.01,0.00646626130463523,1.0000000000000001e-07,77.32443469947363
gaussian,0.5,0.05,0.031921119998644915,5.000000000000001e-07,15.663610801288474
gaussian,0.5,0.1,0.06285472347373035,1.0000000000000002e-06,7.954851638301633
gaussian,0.5,0.2,0.12199128333927095,2.0000000000000003e-06,4.098653496491597
gaussian,0.5,0.5,0.2809298036201614,5e-06,1.7798040419949115
gaussian,1.0,0.01,0.01703686323617644,1.0000000000000001e-07,58.69625095519806
gaussian,1.0,0.05,0.08242211287901101,5.000000000000001e-07,12.132666405530262
gaussian,1.0,0.1,0.1585650787404291,1.0000000000000002e-06,6.306558846018039
gaussian,1.0,0.2,0.29539452912034764,2.0000000000000003e-06,3.3853030486985993
gaussian,1.0,0.5,0.6201145069582775,5e-06,1.6126053959051823
gaussian,2.0,0.01,0.06193252941633187,1.0000000000000001e-07,32.29320712150005
gaussian,2.0,0.05,0.2772171089449407,5.000000000000001e-07,7.214561928056282
gaussian,2.0,0.1,0.49402870804417887,1.0000000000000002e-06,4.048347732498875
gaussian,2.0,0.2,0.8232149905576912,2.0000000000000003e-06,2.4294990044400064
gaussian,2.0,0.5,1.4337808304830273,5e-06,1.394913335064062
gaussian,5.0,0.01,0.9058894621377392,1.0000000000000001e-07,5.51943720396182
gaussian,5.0,0.05,2.124732490148896,5.000000000000001e-07,2.353237418443021
gaussian,5.0,0.1,2.7562888424335865,1.0000000000000002e-06,1.814033392663373
gaussian,5.0,0.2,3.417157072908292,2.0000000000000003e-06,1.463204615216758
gaussian,5.0,0.5,4.313568167929173,5e-06,1.1591331828657212
gaussian,10.0,0.01,5.39931433653905,1.0000000000000001e-07,1.8520870200733637
gaussian,10.0,0.05,7.005129953287075,5.000000000000001e-07,1.4275252660098927
gaussian,10.0,0.1,7.697823422919827,1.0000000000000002e-06,1.2990685094471737
gaussian,10.0,0.2,8.390743670797717,2.0000000000000003e-06,1.1917894756817533
gaussian,10.0,0.5,9.306898218339272,5e-06,1.074471834267508
