epsilon,mechanism,budget_method,sensitivity_method,accuracy,accuracy_ci,f1_score,f1_ci,accuracy_std,f1_std,relative_accuracy_loss_pct,privacy_type,comparison,wilcoxon_p_mi_vs_uniform
inf,none,uniform,clipped,0.9476579429904984,0.0,0.9434030281182408,0.0,0.0,0.0,0.0,no_dp,budget_method,1.0
0.1,laplace,uniform,clipped,0.0,0.0,0.0,0.0,nan,nan,100.0,central_dp,budget_method,1.0
0.3,laplace,uniform,clipped,0.0,0.0,0.0,0.0,nan,nan,100.0,central_dp,budget_method,1.0
0.5,laplace,uniform,clipped,0.0,0.0,0.0,0.0,nan,nan,100.0,central_dp,budget_method,1.0
1.0,laplace,uniform,clipped,0.0,0.0,0.0,0.0,nan,nan,100.0,central_dp,budget_method,1.0
inf,none,mi,clipped,0.9476579429904984,0.0,0.9434030281182408,0.0,0.0,0.0,0.0,no_dp,budget_method,1.0
0.1,laplace,mi,clipped,0.0,0.0,0.0,0.0,nan,nan,100.0,central_dp,budget_method,1.0
0.3,laplace,mi,clipped,0.0,0.0,0.0,0.0,nan,nan,100.0,central_dp,budget_method,1.0
0.5,laplace,mi,clipped,0.0,0.0,0.0,0.0,nan,nan,100.0,central_dp,budget_method,1.0
1.0,laplace,mi,clipped,0.0,0.0,0.0,0.0,nan,nan,100.0,central_dp,budget_method,1.0
inf,none,variance,clipped,0.9476579429904984,0.0,0.9434030281182408,0.0,0.0,0.0,0.0,no_dp,budget_method,1.0
0.1,laplace,variance,clipped,0.0,0.0,0.0,0.0,nan,nan,100.0,central_dp,budget_method,1.0
0.3,laplace,variance,clipped,0.0,0.0,0.0,0.0,nan,nan,100.0,central_dp,budget_method,1.0
0.5,laplace,variance,clipped,0.0,0.0,0.0,0.0,nan,nan,100.0,central_dp,budget_method,1.0
1.0,laplace,variance,clipped,0.0,0.0,0.0,0.0,nan,nan,100.0,central_dp,budget_method,1.0
inf,none,snr,clipped,0.9476579429904984,0.0,0.9434030281182408,0.0,0.0,0.0,0.0,no_dp,budget_method,1.0
0.1,laplace,snr,clipped,0.0,0.0,0.0,0.0,nan,nan,100.0,central_dp,budget_method,1.0
0.3,laplace,snr,clipped,0.0,0.0,0.0,0.0,nan,nan,100.0,central_dp,budget_method,1.0
0.5,laplace,snr,clipped,0.0,0.0,0.0,0.0,nan,nan,100.0,central_dp,budget_method,1.0
1.0,laplace,snr,clipped,0.0,0.0,0.0,0.0,nan,nan,100.0,central_dp,budget_method,1.0
