feature,mechanism,epsilon,privacy_model,mean_error,std_error
flag,laplace,0.1,central,95761.98301488481,92734.05189467731
flag,laplace,0.3,central,27420.475906522413,25688.184443411563
flag,laplace,0.5,central,20895.828188430074,19751.72039980732
flag,laplace,1.0,central,9808.4499414051,8658.888994887244
flag,laplace,2.0,central,7594.65481923748,7788.126876389202
flag,laplace,5.0,central,1508.9020664312163,1425.3682791970546
flag,gaussian,0.1,central,346759.92442817363,186401.83913285544
flag,gaussian,0.3,central,165626.1666710083,139872.36382199684
flag,gaussian,0.5,central,102249.81084640115,56208.019787978265
flag,gaussian,1.0,central,36891.09170340661,27135.886492142283
flag,gaussian,2.0,central,25883.00958473124,18228.904954560483
flag,gaussian,5.0,central,8115.34905233373,5742.873009726477
src_bytes,laplace,0.1,central,159884.16766202077,158225.27216517233
src_bytes,laplace,0.3,central,24700.010312040635,19623.45654396039
src_bytes,laplace,0.5,central,16686.06411546678,16531.2055462035
src_bytes,laplace,1.0,central,6433.583312947216,8064.513743299955
src_bytes,laplace,2.0,central,5832.968917341388,5545.179095719913
src_bytes,laplace,5.0,central,1968.8673586904472,2951.50582866769
src_bytes,gaussian,0.1,central,248666.58287088852,156858.52411180423
src_bytes,gaussian,0.3,central,156376.99611024692,113688.71763063493
src_bytes,gaussian,0.5,central,85807.43630352982,57380.38475231602
src_bytes,gaussian,1.0,central,42963.48375160989,24802.35615514825
src_bytes,gaussian,2.0,central,19708.595925556197,15824.151237616252
src_bytes,gaussian,5.0,central,9034.140264978181,7766.892592271531
