epsilon,mechanism,budget_method,sensitivity_method,accuracy,accuracy_ci,f1_score,f1_ci,accuracy_std,f1_std,relative_accuracy_loss_pct,privacy_type
inf,none,uniform,clipped,0.9476579429904984,0.0,0.9434030281182408,0.0,0.0,0.0,0.0,no_dp
0.1,laplace,uniform,clipped,0.5428515863755071,2.9559117521217048e-05,0.04296991832590638,0.00012110930690360536,8.260303799141208e-05,0.000338440302627147,42.71650542362943,central_dp
0.5,laplace,uniform,clipped,0.542918264155137,1.0707653927264627e-05,0.04324310982666938,4.387128759049955e-05,2.9922569356742948e-05,0.00012259843795976057,42.70946936382292,central_dp
1.0,laplace,uniform,clipped,0.5429238206367728,0.0,0.043265875785066306,4.966102587998629e-18,0.0,1.3877787807814457e-17,42.70888302550572,central_dp
2.0,laplace,uniform,clipped,0.542918264155137,1.0707653927264625e-05,0.04326537275197963,9.693731679713648e-07,2.9922569356742944e-05,2.7089160751946986e-06,42.70946936382292,central_dp
5.0,laplace,uniform,clipped,0.542918264155137,1.0707653927264625e-05,0.04326537275197963,9.693731679713646e-07,2.9922569356742944e-05,2.708916075194698e-06,42.70946936382292,central_dp
10.0,laplace,uniform,clipped,0.5429238206367728,0.0,0.043265875785066306,4.966102587998629e-18,0.0,1.3877787807814457e-17,42.70888302550572,central_dp
inf,none,mi,clipped,0.9476579429904984,0.0,0.9434030281182408,0.0,0.0,0.0,0.0,no_dp
0.1,laplace,mi,clipped,0.5329221536922818,7.945764140797807e-17,0.0,0.0,2.220446049250313e-16,0.0,43.764291996481994,central_dp
0.5,laplace,mi,clipped,0.5329221536922818,7.945764140797807e-17,0.0,0.0,2.220446049250313e-16,0.0,43.764291996481994,central_dp
1.0,laplace,mi,clipped,0.5329221536922818,7.945764140797807e-17,0.0,0.0,2.220446049250313e-16,0.0,43.764291996481994,central_dp
2.0,laplace,mi,clipped,0.5329221536922818,7.945764140797807e-17,0.0,0.0,2.220446049250313e-16,0.0,43.764291996481994,central_dp
5.0,laplace,mi,clipped,0.8088236928376952,0.00039469850601570896,0.7426868483781149,0.0006683652155207675,0.0011029860977468996,0.0018677484958802364,14.650249193784814,central_dp
10.0,laplace,mi,clipped,0.8848752569872758,0.0002593192267376037,0.8627876994705583,0.000249681151556761,0.0007246683167295019,0.0006977346882219599,6.6250366461448165,central_dp
inf,none,uniform,clipped,0.9476579429904984,0.0,0.9434030281182408,0.0,0.0,0.0,0.0,no_dp
0.1,gaussian,uniform,clipped,0.5427793521142413,2.0277387331799466e-05,0.04267396086674647,8.30802991262328e-05,5.6665216576000305e-05,0.0002321681322230329,42.72412782175314,central_dp
0.5,gaussian,uniform,clipped,0.5428515863755071,2.9559117521217048e-05,0.04296991832590638,0.00012110930690360536,8.260303799141208e-05,0.000338440302627147,42.71650542362943,central_dp
1.0,gaussian,uniform,clipped,0.542890481746958,2.3860337005274908e-05,0.043129280034684796,9.776032302456615e-05,6.667777962992004e-05,0.0002731915007629926,42.712401055408954,central_dp
2.0,gaussian,uniform,clipped,0.542918264155137,1.0707653927264625e-05,0.04324310982666938,4.387128759049955e-05,2.9922569356742944e-05,0.00012259843795976057,42.70946936382292,central_dp
5.0,gaussian,uniform,clipped,0.5429238206367728,0.0,0.043265875785066306,4.966102587998629e-18,0.0,1.3877787807814457e-17,42.70888302550572,central_dp
10.0,gaussian,uniform,clipped,0.5429238206367728,0.0,0.043265875785066306,4.966102587998629e-18,0.0,1.3877787807814457e-17,42.70888302550572,central_dp
inf,none,mi,clipped,0.9476579429904984,0.0,0.9434030281182408,0.0,0.0,0.0,0.0,no_dp
0.1,gaussian,mi,clipped,0.5329221536922818,7.945764140797807e-17,0.0,0.0,2.220446049250313e-16,0.0,43.764291996481994,central_dp
0.5,gaussian,mi,clipped,0.5329221536922818,7.945764140797807e-17,0.0,0.0,2.220446049250313e-16,0.0,43.764291996481994,central_dp
1.0,gaussian,mi,clipped,0.5329221536922818,7.945764140797807e-17,0.0,0.0,2.220446049250313e-16,0.0,43.764291996481994,central_dp
2.0,gaussian,mi,clipped,0.5329221536922818,7.945764140797807e-17,0.0,0.0,2.220446049250313e-16,0.0,43.764291996481994,central_dp
5.0,gaussian,mi,clipped,0.5329221536922818,7.945764140797807e-17,0.0,0.0,2.220446049250313e-16,0.0,43.764291996481994,central_dp
10.0,gaussian,mi,clipped,0.5329221536922818,7.945764140797807e-17,0.0,0.0,2.220446049250313e-16,0.0,43.764291996481994,central_dp
