epsilon,mechanism,privacy_model,mean_error,std_error,theoretical_mse,ldp_penalty_vs_central,feature
0.1,laplace,local,2586.520957004929,1431.4404911489871,2828.4246923767455,3000.0,flag
0.3,laplace,local,801.9889338470355,737.222291846511,942.8082307922487,3000.0,flag
0.5,laplace,local,601.3508480514981,421.74264733150784,565.6849384753491,3000.0,flag
1.0,laplace,local,266.68830767060865,155.84537115081542,282.84246923767455,3000.0,flag
2.0,laplace,local,91.44448419837718,79.63342717139403,141.42123461883727,3000.0,flag
5.0,laplace,local,47.45147839312703,28.835202598864566,56.56849384753492,3000.0,flag
0.1,duchi,local,53895427.30430802,30456647.566033904,69748291.84430622,1824312218414.641,flag
0.3,duchi,local,14627861.591764942,11083854.973457854,23404040.230432928,1848656389074.3782,flag
0.5,duchi,local,14644092.185439562,9650891.139988001,14227218.466863237,1897632126044.9824,flag
1.0,duchi,local,5410304.5087617645,4131449.490258157,7540320.158831361,2132119720789.8713,flag
2.0,duchi,local,2571624.75389152,2005654.3089955351,4575286.311456258,3139992125381.061,flag
5.0,duchi,local,475344.5388498721,312387.0789017193,3531786.761207747,11693942981656.438,flag
0.1,piecewise,local,64566906.96069028,44715439.815175265,139409489.04965705,7288139649100.857,flag
0.3,piecewise,local,23146030.148205213,16219201.805800935,46547231.02150591,7312438492707.958,flag
0.5,piecewise,local,11004719.966604088,8006672.68612095,28021127.491796512,7361108778616.714,flag
1.0,piecewise,local,6437037.082014594,5352235.120379526,14227218.466863237,7590528504179.93,flag
2.0,piecewise,local,3551272.8264662265,2739950.8871099083,7540320.158831361,8528478883159.485,flag
5.0,piecewise,local,1195168.000299024,986751.5446967932,4107719.57927188,15818802340519.863,flag
0.1,laplace,local,1749.0331477895961,1748.1206825820377,2684.8958314597717,2999.9999999999995,src_bytes
0.3,laplace,local,697.7352329204336,654.0901971637463,894.9652771532573,3000.0,src_bytes
0.5,laplace,local,562.0164169013702,351.6305384296957,536.9791662919542,2999.9999999999995,src_bytes
1.0,laplace,local,236.3540227696541,177.27247686374673,268.4895831459771,2999.9999999999995,src_bytes
2.0,laplace,local,94.50938729391018,104.62270863422789,134.24479157298856,2999.9999999999995,src_bytes
5.0,laplace,local,37.77358445182485,25.974150036000786,53.697916629195426,3000.0,src_bytes
0.1,duchi,local,37141.85896220767,35451.69551157286,49983.86727586378,1039743.1858593163,src_bytes
0.3,duchi,local,12095.493232871353,7329.805162696871,16772.087310872725,1053617.83149473,src_bytes
0.5,duchi,local,6837.546527656725,5497.797659499722,10195.68194071067,1081530.9202048827,src_bytes
1.0,duchi,local,3729.213410335181,1732.5834537835929,5403.635731723142,1215174.0961610316,src_bytes
2.0,duchi,local,2103.4907836449497,1346.6576276785581,3278.797196229469,1789597.955362063,src_bytes
5.0,duchi,local,379.46801286337524,316.6870697893061,2530.99188597938,6664811.762084661,src_bytes
0.1,piecewise,local,54068.191137139125,37731.77976615465,99905.3197346923,4153781.058556391,src_bytes
0.3,piecewise,local,15412.120294001284,8279.325029685497,33357.24153118238,4167629.870623604,src_bytes
0.5,piecewise,local,11065.559076511447,7501.106111124576,20080.84041106665,4195368.871446298,src_bytes
1.0,piecewise,local,3716.577562105638,2809.1681408046234,10195.68194071067,4326123.680819531,src_bytes
2.0,piecewise,local,1977.5425064623912,1564.673292088265,5403.635731723142,4860696.3846441265,src_bytes
5.0,piecewise,local,719.5098862849387,462.21151199885514,2943.723850830816,9015722.076511715,src_bytes
