epsilon,mechanism,empirical_accuracy,empirical_advantage,empirical_auc,theoretical_max_accuracy,theoretical_max_advantage,privacy_margin,feature
0.1,laplace,0.499375,-0.0006249999999999867,0.498715625,0.52497918747894,0.024979187478940013,0.02560418747894,flag
0.3,laplace,0.5075,0.007499999999999951,0.5085640625,0.574442516811659,0.07444251681165903,0.06694251681165908,flag
0.5,laplace,0.52875,0.028750000000000053,0.527621875,0.6224593312018546,0.1224593312018546,0.09370933120185454,flag
1.0,laplace,0.519375,0.01937500000000003,0.5282609375,0.7310585786300049,0.2310585786300049,0.21168357863000486,flag
2.0,laplace,0.49875,-0.0012499999999999734,0.5023500000000001,0.8807970779778824,0.3807970779778824,0.3820470779778824,flag
5.0,laplace,0.501875,0.00187499999999996,0.500740625,0.9933071490757152,0.49330714907571516,0.4914321490757152,flag
0.1,gaussian,0.49375,-0.006249999999999978,0.5017953125,0.52497918747894,0.024979187478940013,0.03122918747893999,flag
0.3,gaussian,0.513125,0.013125000000000053,0.5100718750000001,0.574442516811659,0.07444251681165903,0.06131751681165898,flag
0.5,gaussian,0.514375,0.014375000000000027,0.5176390625,0.6224593312018546,0.1224593312018546,0.10808433120185457,flag
1.0,gaussian,0.50875,0.008750000000000036,0.49268125,0.7310585786300049,0.2310585786300049,0.22230857863000486,flag
2.0,gaussian,0.500625,0.0006249999999999867,0.49167031249999993,0.8807970779778824,0.3807970779778824,0.38017207797788244,flag
5.0,gaussian,0.51375,0.01375000000000004,0.5233953125,0.9933071490757152,0.49330714907571516,0.4795571490757151,flag
0.1,laplace,0.491875,-0.008124999999999993,0.501225,0.52497918747894,0.024979187478940013,0.033104187478940006,src_bytes
0.3,laplace,0.4875,-0.012500000000000011,0.4851828125,0.574442516811659,0.07444251681165903,0.08694251681165904,src_bytes
0.5,laplace,0.495625,-0.004375000000000018,0.5009578125,0.6224593312018546,0.1224593312018546,0.1268343312018546,src_bytes
1.0,laplace,0.505625,0.005624999999999991,0.5003703125,0.7310585786300049,0.2310585786300049,0.2254335786300049,src_bytes
2.0,laplace,0.493125,-0.00687500000000002,0.4979265625,0.8807970779778824,0.3807970779778824,0.38767207797788245,src_bytes
5.0,laplace,0.48,-0.020000000000000018,0.4802046875,0.9933071490757152,0.49330714907571516,0.5133071490757152,src_bytes
0.1,gaussian,0.493125,-0.00687500000000002,0.490934375,0.52497918747894,0.024979187478940013,0.03185418747894003,src_bytes
0.3,gaussian,0.501875,0.00187499999999996,0.5033359375,0.574442516811659,0.07444251681165903,0.07256751681165907,src_bytes
0.5,gaussian,0.510625,0.010624999999999996,0.5158078125,0.6224593312018546,0.1224593312018546,0.1118343312018546,src_bytes
1.0,gaussian,0.4775,-0.02250000000000002,0.47921250000000004,0.7310585786300049,0.2310585786300049,0.2535585786300049,src_bytes
2.0,gaussian,0.488125,-0.011875000000000024,0.49561875,0.8807970779778824,0.3807970779778824,0.39267207797788245,src_bytes
5.0,gaussian,0.496875,-0.003124999999999989,0.4889890625,0.9933071490757152,0.49330714907571516,0.49643214907571515,src_bytes
