mechanism,per_query_epsilon,n_queries,prv_epsilon,rdp_epsilon,advanced_epsilon,basic_epsilon,prv_vs_rdp_ratio,prv_tightening_pct
laplace,0.1,1,0.18312007198629904,0.27186705500505587,0.4903696830263729,0.1,1.4846382051739082,32.64352240734223
laplace,0.1,2,0.32919052643608404,0.3609892613597907,0.6996482260566408,0.2,1.0965967498152798,8.808775863283508
laplace,0.1,5,0.684861929978646,0.628355880423995,1.1255684721824974,0.5,0.9174927863833622,-8.992682541066134
laplace,0.1,10,1.1049486769151795,1.073966912197669,1.6225980474607942,1.0,0.9719609015651242,-2.8847969491082632
laplace,0.1,20,1.793035121372691,1.9354998641966565,2.3563078624406426,2.0,1.0794545188355815,7.360617557216758
laplace,0.1,50,3.5573392018202323,3.428542309571607,3.918924802585795,5.0,0.9637940367950513,-3.756607928945703
laplace,0.1,100,6.152210156328769,5.076287930171763,5.850235092944558,10.0,0.8251161454473063,-21.1950590856378
laplace,0.5,1,0.5494189954569746,0.6718670073312907,2.7236235914441047,0.5,1.2228681805449246,18.225037178219146
laplace,0.5,2,1.059779479109641,1.1609891660122602,4.0417914829076835,1.0,1.0955007045311436,8.717539307472773
laplace,0.5,5,2.2843986992833374,2.628355642055169,6.986718242473689,2.5,1.1505678246445061,13.0863927722842
laplace,0.5,10,3.6666887532438546,5.073966435460018,10.830742000426373,5.0,1.383800692374331,27.735258010010387
laplace,0.5,20,5.655724651719587,9.850061273098722,17.217042838448016,10.0,1.7416090562513284,42.58183279361107
laplace,0.5,50,9.928283669705843,19.31778434784796,33.183382828540985,25.0,1.9457325143511246,48.60547415308592
laplace,0.5,100,15.334706718444739,31.543315082331787,56.42869309594681,50.0,2.056988481194177,51.38524064950263
