epsilon,mechanism,feature,empirical_accuracy,theoretical_bound,margin_pp,empirical_advantage,theoretical_max_advantage,auc,dp_guarantee_status
0.1,laplace,flag,0.495,0.525,3.0,-0.005,0.025,0.5,VALID
0.5,laplace,flag,0.5256,0.6225,9.68,0.0256,0.1225,0.5,VALID
1.0,laplace,flag,0.4938,0.7311,23.73,-0.0062,0.2311,0.5,VALID
2.0,laplace,flag,0.5119,0.8808,36.89,0.0119,0.3808,0.5,VALID
5.0,laplace,flag,0.5038,0.9933,48.96,0.0037,0.4933,0.5,VALID
10.0,laplace,flag,0.5337,1.0,46.62,0.0337,0.5,0.5,VALID
0.1,gaussian,flag,0.4919,0.525,3.31,-0.0081,0.025,0.5,VALID
0.5,gaussian,flag,0.4938,0.6225,12.87,-0.0062,0.1225,0.5,VALID
1.0,gaussian,flag,0.485,0.7311,24.61,-0.015,0.2311,0.5,VALID
2.0,gaussian,flag,0.5062,0.8808,37.45,0.0062,0.3808,0.5,VALID
5.0,gaussian,flag,0.5006,0.9933,49.27,0.0006,0.4933,0.5,VALID
10.0,gaussian,flag,0.4981,1.0,50.18,-0.0019,0.5,0.5,VALID
0.1,laplace,src_bytes,0.5,0.525,2.5,0.0,0.025,0.5,VALID
0.5,laplace,src_bytes,0.5125,0.6225,11.0,0.0125,0.1225,0.5,VALID
1.0,laplace,src_bytes,0.5219,0.7311,20.92,0.0219,0.2311,0.5,VALID
2.0,laplace,src_bytes,0.5094,0.8808,37.14,0.0094,0.3808,0.5,VALID
5.0,laplace,src_bytes,0.4913,0.9933,50.21,-0.0087,0.4933,0.5,VALID
10.0,laplace,src_bytes,0.5,1.0,50.0,0.0,0.5,0.5,VALID
0.1,gaussian,src_bytes,0.5044,0.525,2.06,0.0044,0.025,0.5,VALID
0.5,gaussian,src_bytes,0.5075,0.6225,11.5,0.0075,0.1225,0.5,VALID
1.0,gaussian,src_bytes,0.51,0.7311,22.11,0.01,0.2311,0.5,VALID
2.0,gaussian,src_bytes,0.4988,0.8808,38.2,-0.0012,0.3808,0.5,VALID
5.0,gaussian,src_bytes,0.5019,0.9933,49.14,0.0019,0.4933,0.5,VALID
10.0,gaussian,src_bytes,0.4925,1.0,50.75,-0.0075,0.5,0.5,VALID
